time,longitude_s,latitude_s,longitude_e,latitude_e,quality_label
1709612861936215600,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612862683792400,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612863431751700,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612864179711200,75.8205074,26.8630226,75.8205074,26.8630226,1.0
1709612864927670300,75.8205074,26.8630226,75.8205074,26.8630226,1.0
1709612865675629600,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612866423588600,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612867171549700,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612867919509000,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612868667469800,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612869415429600,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612870163390500,75.8205074,26.8630226,75.8205074,26.8630226,1.0
1709612870911351300,75.8205074,26.8630226,75.8205074,26.8630226,1.0
1709612871659312400,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612872407274800,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612873155235600,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612873903196700,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612874651159000,75.8205074,26.8630226,75.8205074,26.8630226,0.0
1709612875399121000,75.8205074,26.8630226,75.8205074,26.8630226,0.0
